Preço,Condomínio,URL
1.390.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-100m2-venda-RS1390000-id-2447306485/
480.000,433,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-100m2-venda-RS480000-id-2448534660/
980.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-103m2-venda-RS980000-id-2462901785/
513.000,0,/imoveis-lancamento/residencial-ines-de-castro-2453902704/
1.075.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-95m2-venda-RS1075000-id-93404552/
984.449,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-97m2-venda-RS984449-id-2461507935/
390.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-52m2-venda-RS390000-id-2428735587/
535.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-60m2-venda-RS535000-id-93392722/
990.000,1.000,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-84m2-venda-RS990000-id-2445909698/
728.000,600,/imovel/cobertura-2-quartos-jurere-bairros-florianopolis-com-garagem-135m2-venda-RS728000-id-2458971582/
156.900,0,/imoveis-lancamento/parque-flores-do-mar-1930465481/
400.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-67m2-venda-RS400000-id-2462239283/
475.000,400,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-74m2-venda-RS475000-id-1503335473/
380.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-67m2-venda-RS380000-id-2438793576/
480.000,250,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-76m2-venda-RS480000-id-2460502515/
480.000,384,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-85m2-venda-RS480000-id-2435202873/
823.008,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-88m2-venda-RS823008-id-2433720000/
1.150.000,660,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-100m2-venda-RS1150000-id-2457542470/
670.000,537,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-74m2-venda-RS670000-id-2462883168/
850.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-83m2-venda-RS850000-id-2450762796/
460.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-82m2-venda-RS460000-id-2454227742/
570.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-64m2-venda-RS570000-id-2435888236/
899.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-74m2-venda-RS899000-id-2450760691/
560.000,300,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-68m2-venda-RS560000-id-2454522478/
290.000,0,/imoveis-lancamento/gaivotas-residence-2452175013/
1.150.000,650,/imovel/cobertura-2-quartos-jurere-bairros-florianopolis-com-garagem-154m2-venda-RS1150000-id-2457340408/
1.050.000,680,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-95m2-venda-RS1050000-id-2460427715/
550.000,350,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-72m2-venda-RS550000-id-2450249476/
1.056.713,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-178m2-venda-RS1056713-id-2460193413/
495.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-88m2-venda-RS495000-id-2444732079/
575.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-92m2-venda-RS575000-id-2443582689/
515.021,0,/imoveis-lancamento/floripa-residence-10465/
450.000,400,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-69m2-venda-RS450000-id-2430839208/
1.120.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-100m2-venda-RS1120000-id-2456658903/
470.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-83m2-venda-RS470000-id-2460194012/
1.390.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-100m2-venda-RS1390000-id-2447306485/
480.000,433,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-100m2-venda-RS480000-id-2448534660/
980.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-103m2-venda-RS980000-id-2462901785/
513.000,0,/imoveis-lancamento/residencial-ines-de-castro-2453902704/
1.075.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-95m2-venda-RS1075000-id-93404552/
984.449,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-97m2-venda-RS984449-id-2461507935/
390.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-52m2-venda-RS390000-id-2428735587/
535.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-60m2-venda-RS535000-id-93392722/
990.000,1.000,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-84m2-venda-RS990000-id-2445909698/
728.000,600,/imovel/cobertura-2-quartos-jurere-bairros-florianopolis-com-garagem-135m2-venda-RS728000-id-2458971582/
156.900,0,/imoveis-lancamento/parque-flores-do-mar-1930465481/
400.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-67m2-venda-RS400000-id-2462239283/
475.000,400,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-74m2-venda-RS475000-id-1503335473/
380.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-67m2-venda-RS380000-id-2438793576/
480.000,250,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-76m2-venda-RS480000-id-2460502515/
480.000,384,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-85m2-venda-RS480000-id-2435202873/
823.008,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-88m2-venda-RS823008-id-2433720000/
1.150.000,660,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-100m2-venda-RS1150000-id-2457542470/
,0,/imoveis-lancamento/residencial-henrique-viii-2463735101/
670.000,537,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-74m2-venda-RS670000-id-2462883168/
850.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-83m2-venda-RS850000-id-2450762796/
460.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-82m2-venda-RS460000-id-2454227742/
570.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-64m2-venda-RS570000-id-2435888236/
899.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-74m2-venda-RS899000-id-2450760691/
560.000,300,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-68m2-venda-RS560000-id-2454522478/
290.000,0,/imoveis-lancamento/gaivotas-residence-2452175013/
1.150.000,650,/imovel/cobertura-2-quartos-jurere-bairros-florianopolis-com-garagem-154m2-venda-RS1150000-id-2457340408/
1.050.000,680,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-95m2-venda-RS1050000-id-2460427715/
550.000,350,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-72m2-venda-RS550000-id-2450249476/
1.056.713,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-178m2-venda-RS1056713-id-2460193413/
495.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-88m2-venda-RS495000-id-2444732079/
575.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-92m2-venda-RS575000-id-2443582689/
515.021,0,/imoveis-lancamento/floripa-residence-10465/
450.000,400,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-69m2-venda-RS450000-id-2430839208/
1.120.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-100m2-venda-RS1120000-id-2456658903/
470.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-83m2-venda-RS470000-id-2460194012/
1.390.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-100m2-venda-RS1390000-id-2447306485/
480.000,433,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-100m2-venda-RS480000-id-2448534660/
980.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-103m2-venda-RS980000-id-2462901785/
513.000,0,/imoveis-lancamento/residencial-ines-de-castro-2453902704/
1.075.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-95m2-venda-RS1075000-id-93404552/
984.449,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-97m2-venda-RS984449-id-2461507935/
390.000,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-52m2-venda-RS390000-id-2428735587/
535.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-60m2-venda-RS535000-id-93392722/
990.000,1.000,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-84m2-venda-RS990000-id-2445909698/
728.000,600,/imovel/cobertura-2-quartos-jurere-bairros-florianopolis-com-garagem-135m2-venda-RS728000-id-2458971582/
156.900,0,/imoveis-lancamento/parque-flores-do-mar-1930465481/
400.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-67m2-venda-RS400000-id-2462239283/
475.000,400,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-74m2-venda-RS475000-id-1503335473/
380.000,500,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-67m2-venda-RS380000-id-2438793576/
480.000,250,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-76m2-venda-RS480000-id-2460502515/
480.000,384,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-85m2-venda-RS480000-id-2435202873/
823.008,0,/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-88m2-venda-RS823008-id-2433720000/
